sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
23374,20,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23375,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23376,25,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23377,19,25,13,3,1.520000,1.538462,1.666667,1.000000,1.923077,8.333333,no
23378,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23379,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23380,23,1,1,1,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
23381,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23382,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23383,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23384,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23385,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23386,20,13,4,4,2.538462,1.500000,1.500000,1.000000,3.250000,3.250000,no
23387,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23388,21,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23389,14,1,1,1,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
23390,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23391,50,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23392,27,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23393,16,12,6,6,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,no
23394,44,63,36,5,7.746032,8.638889,4.800000,1.000000,1.750000,12.600000,no
23395,33,111,91,32,1.225225,1.219780,1.187500,1.000000,1.219780,3.468750,no
23396,17,22,8,8,1.000000,1.000000,1.000000,1.000000,2.750000,2.750000,no
23397,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23398,16,14,10,10,1.000000,1.000000,1.000000,1.000000,1.400000,1.400000,no
23399,16,6,1,1,2.000000,2.000000,2.000000,1.000000,6.000000,6.000000,no
23400,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23401,11,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23402,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23403,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23404,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23405,27,34,25,9,1.117647,1.120000,1.333333,1.000000,1.360000,3.777778,no
23406,16,6,2,2,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,no
23407,35,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23408,21,11,9,2,1.909091,1.888889,1.500000,1.000000,1.222222,5.500000,no
23409,6,2,2,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
23410,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23411,35,3,2,2,1.000000,1.000000,1.000000,1.000000,1.500000,1.500000,no
23412,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23413,7,3,1,1,2.000000,2.000000,2.000000,1.000000,3.000000,3.000000,no
23414,24,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23415,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23416,14,18,8,8,1.000000,1.000000,1.000000,1.000000,2.250000,2.250000,no
23417,19,30,8,8,1.000000,1.000000,1.000000,1.000000,3.750000,3.750000,no
23418,19,8,1,1,5.000000,5.000000,5.000000,1.000000,8.000000,8.000000,no
23419,15,8,1,1,4.000000,4.000000,4.000000,1.000000,8.000000,8.000000,no
23420,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23421,7,4,4,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
23422,19,9,9,9,1.333333,1.333333,1.333333,1.000000,1.000000,1.000000,no
23423,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23424,16,24,2,2,1.000000,1.000000,1.000000,1.000000,12.000000,12.000000,no
23425,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23426,2,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23427,8,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
23428,23,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23429,35,52,4,4,2.480769,2.250000,2.250000,1.000000,13.000000,13.000000,no
23430,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23431,12,5,3,3,4.400000,4.666667,4.666667,1.000000,1.666667,1.666667,no
23432,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23433,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23434,24,13,11,6,2.384615,2.272727,1.666667,1.000000,1.181818,2.166667,no
